127.0.0.1 - - [05/Mar/2024:09:10:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:47 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:48 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:48 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:43:13 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:43:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:43:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:43:38 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:45:51 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:45:52 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:45:53 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:45:53 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:45:53 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:32 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:33 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:33 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:34 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:34 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:34 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:36 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:36 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:37 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:46:37 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:00 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:09 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:10 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:10 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:10 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:10 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:39 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:44 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:47:44 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:11 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:11 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:11 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:13 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:13 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:48:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:49:46 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:05 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:06 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:07 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:07 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:07 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:50:29 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:31 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:38 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:39 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:52:40 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:48 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:56:50 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:20:23 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:19 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:26 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:54 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:58 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:58 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:23:58 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:24:08 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:24:09 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:24:24 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:24:25 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:01 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:02 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:18 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:18 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:20 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:37 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:37 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:25:38 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:31 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:31 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:35 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:35 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:35 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:35 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:37 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:38 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:47 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:51 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:26:51 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:15 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:18 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:37 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:39 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:39 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:52 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:53 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:27:59 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:28:00 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:28:28 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:28:28 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:28:42 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:28:43 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:29:05 +0900] "GET /JspProject/ajax0305/readtostudent.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:29:07 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:29:58 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Mar/2024:11:29:59 +0900] "GET /JspProject/ajax0305/studenttojsonl.jsp HTTP/1.1" 200 492
